latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
49.94115,-121.44533,351.07,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,308.47,6.04,D
49.94126,-121.51255,338.73,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,300.51,18.01,D
49.94196,-121.44006,331.49,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,301.28,10.21,D
49.94207,-121.48459,335.34,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,299.76,3.29,D
49.94208,-121.50718,332.64,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,295.62,13.84,D
49.94363,-121.45174,345.64,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,303.04,6.04,D
49.94371,-121.49647,341.03,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,300.58,5.71,D
49.94443,-121.44652,335.57,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,302.01,6.04,D
49.94453,-121.49114,335.61,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,300.13,5.71,D
49.94523,-121.44123,344.2,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,305.66,10.21,D
49.94851,-121.44239,341.44,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,304.0,12.23,D
49.95018,-121.45407,354.39,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,303.08,11.69,D
49.95098,-121.44882,355.51,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,307.78,11.69,D
49.95178,-121.44355,346.09,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,299.5,12.23,D
49.95425,-121.44998,337.52,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,298.41,10.77,D
49.88689,-121.47938,299.12,0.38,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,280.32,1.06,N
49.88726,-121.47737,303.23,0.38,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,280.29,1.45,N
49.88905,-121.46667,302.55,0.38,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,282.62,1.76,N
49.89077,-121.47398,307.77,0.38,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,284.71,1.76,N
49.89289,-121.48303,298.55,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,281.55,2.25,N
49.89398,-121.49165,309.43,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,279.37,3.8,N
49.89482,-121.45454,300.04,0.38,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,281.0,0.32,N
49.89523,-121.49294,310.73,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,279.11,2.25,N
49.89645,-121.47984,309.05,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,281.83,2.25,N
49.89762,-121.48875,329.83,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,280.79,3.8,N
49.89888,-121.4902,328.57,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,278.64,2.25,N
49.90255,-121.48746,301.04,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,278.45,1.1,N
49.9054,-121.46288,299.96,0.38,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,281.41,1.19,N
49.90611,-121.4843,300.77,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,279.46,1.1,N
49.90834,-121.49385,318.91,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,283.6,4.21,N
49.91181,-121.49028,321.08,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,284.73,2.38,N
49.91406,-121.49994,314.11,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,282.94,2.38,N
49.91518,-121.48631,300.42,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,280.98,2.38,N
49.91747,-121.49613,310.4,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,283.38,2.38,N
49.91953,-121.50497,305.3,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,278.72,1.57,N
49.92511,-121.51048,298.51,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,277.59,1.58,N
49.92875,-121.50764,306.4,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,281.07,1.58,N
49.93081,-121.51654,318.97,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,282.04,4.93,N
49.93437,-121.51335,308.77,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,282.74,1.65,N
49.93663,-121.52311,311.79,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,279.95,1.65,N
49.93782,-121.50977,296.77,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,280.33,1.65,N
49.93838,-121.47507,296.47,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,279.75,1.27,N
49.93913,-121.44122,320.52,0.38,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,277.69,2.9,N
49.94016,-121.51983,305.67,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,281.17,1.65,N
49.9402,-121.44583,319.87,0.38,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,283.12,2.9,N
49.94123,-121.50595,305.53,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,284.66,2.64,N
49.94141,-121.45102,319.75,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,285.81,4.05,N
49.94284,-121.45718,322.1,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,286.27,4.05,N
49.94288,-121.43881,337.95,0.38,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,279.67,4.83,N
49.94363,-121.51628,319.92,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,284.85,2.64,N
49.94404,-121.44381,335.48,0.38,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,282.98,4.83,N
49.94441,-121.46399,301.96,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,283.87,2.34,N
49.94592,-121.48905,312.88,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,283.81,1.99,N
49.94603,-121.47095,319.93,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,282.7,2.34,N
49.94606,-121.52679,315.39,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,280.36,3.51,N
49.94655,-121.43605,308.27,0.38,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,277.39,4.83,N
49.94693,-121.51199,309.4,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,283.24,2.64,N
49.94769,-121.44097,321.76,0.38,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,284.1,4.83,N
49.94798,-121.49796,313.81,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,284.7,1.92,N
49.94912,-121.52148,316.25,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,280.67,3.51,N
49.94953,-121.48609,305.78,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,281.22,1.99,N
49.94999,-121.46949,321.37,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,285.67,2.98,N
49.95012,-121.50722,307.3,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,283.75,1.92,N
49.95018,-121.43313,345.08,0.38,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,279.83,5.41,N
49.95121,-121.53051,322.5,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,277.27,3.51,N
49.95129,-121.43791,321.18,0.38,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,283.61,5.41,N
49.95145,-121.49438,302.68,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,281.44,1.92,N
49.95218,-121.46038,306.76,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,285.46,2.98,N
49.95226,-121.51651,304.34,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,280.82,5.96,N
49.95343,-121.50294,313.91,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,283.66,1.92,N
49.95387,-121.43047,328.77,0.38,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,279.83,5.41,N
49.95396,-121.46809,319.56,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,287.87,2.98,N
49.95435,-121.52554,330.25,0.57,0.43,2026-07-07,1053,N,VIIRS,n,2.0NRT,279.8,5.96,N
